roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roiexc1,extroiexc1,roiexc2,extroiexc2,dilroi1,dilroi2,dilroi3,dilroi4,dilroiexc1,dilroiexc2,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_TG_dorsal,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL53,53,L,AL53,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_8BM,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL54,54,L,AL54,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_9_Middle,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL55,55,L,AL55,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_10r,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL56,56,L,AL56,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_10v,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL57,57,L,AL57,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_25,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL58,58,L,AL58,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_p32,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL59,59,L,AL59,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_s32,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL60,60,L,AL60,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_10d,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL61,61,L,AL61,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Right-MDl_AND_Right-MDm,.nii.gz,R_Area_posterior_10p,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-AV,.nii.gz,Right-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL62,62,L,AL62,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
