roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roiexc1,extroiexc1,roiexc2,extroiexc2,dilroi1,dilroi2,dilroi3,dilroi4,dilroiexc1,dilroiexc2,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_TG_dorsal,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL7,7,L,AL7,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_8BM,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL8,8,L,AL8,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_9_Middle,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL9,9,L,AL9,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_10r,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL10,10,L,AL10,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_10v,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL11,11,L,AL11,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_25,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL12,12,L,AL12,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_p32,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL13,13,L,AL13,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_s32,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL14,14,L,AL14,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_10d,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL15,15,L,AL15,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_posterior_10p,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL16,16,L,AL16,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_anterior_10p,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL17,17,L,AL17,L,AL,0,0,180,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Polar_10p,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL18,18,L,AL18,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_11l,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL19,19,L,AL19,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_anterior_47r,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL20,20,L,AL20,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_47m,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL21,21,L,AL21,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_47s,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL22,22,L,AL22,L,AL,0,0,120,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_13l,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL23,23,L,AL23,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Orbital_Frontal_Complex,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL24,24,L,AL24,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_posterior_OFC_Complex,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL25,25,L,AL25,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_44,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL26,26,L,AL26,L,AL,0,0,130,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_45,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL27,27,L,AL27,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_47l,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL28,28,L,AL28,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_posterior_47r,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL29,29,L,AL29,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area__IFSa,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL30,30,L,AL30,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_IFSp,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL31,31,L,AL31,L,AL,0,0,130,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_IFJa,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL32,32,L,AL32,L,AL,0,0,110,40,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_IFJp,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL33,33,L,AL33,L,AL,0,0,100,40,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_9_anterior,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL34,34,L,AL34,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
Left-MDl_AND_Left-MDm,.nii.gz,L_Area_9_Posterior,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-AV,.nii.gz,Left-fimbria,.nii.gz,1,1,0,0,0,5,0,1,HAL35,35,L,AL35,L,AL,0,0,200,20,45,iFoD2,5000,0.05,3,3,100,median,3
