sub,ses,RUN,anat,dwi,func
S0001,001,True,True,True,False
S0002,001,True,True,True,False
S0003,001,True,True,True,False
S0005,001,True,True,True,False
S0006,001,True,True,True,False
S0007,001,True,True,True,False
S0008,001,True,True,True,False
S0009,001,True,True,True,False
S0011,001,True,True,True,False
S0013,001,True,True,True,False
S0014,001,True,True,True,False
S0015,001,True,True,True,False
S0018,001,True,True,True,False
S0019,001,True,True,True,False
S0021,001,True,True,True,False
S0022,001,True,True,True,False
S0023,001,True,True,True,False
S0024,001,True,True,True,False
S0025,001,True,True,True,False
S2005,001,True,True,True,False
S2007,001,True,True,True,False
S2009,001,True,True,True,False
S2010,001,True,True,True,False
S2012,001,True,True,True,False
S2013,001,True,True,True,False
S2015,001,True,True,True,False
S2018,001,True,True,True,False
S2022,001,True,True,True,False
S2026,001,True,True,True,False
S2029,001,True,True,True,False
S2030,001,True,True,True,False
S2032,001,True,True,True,False
S2033,001,True,True,True,False
S2035,001,True,True,True,False
S2042,001,True,True,True,False
S2044,001,True,True,True,False
S2046,001,True,True,True,False
S2047,001,True,True,True,False
