sub,ses,RUN,anat,dwi,func
T02,001,True,True,True,False
T03,001,True,True,True,False
T05,001,True,True,True,False
T08,001,True,True,True,False
T11,001,True,True,True,False
T12,001,True,True,True,False
T13,001,True,True,True,False
T14,001,True,True,True,False
T15,001,True,True,True,False
T16,001,True,True,True,False
T17,001,True,True,True,False
T18,001,True,True,True,False
T19,001,True,True,True,False
T20,001,True,True,True,False
T21,001,True,True,True,False
T22,001,True,True,True,False
T23,001,True,True,True,False
T24,001,True,True,True,False
T25,001,True,True,True,False
T26,001,True,True,True,False
T27,001,True,True,True,False
