sub,ses,RUN,anat,dwi,func
S004,001,True,True,True,False
S005,001,True,True,True,False
S006,001,True,True,True,False
S009,001,True,True,True,False
S010,001,True,True,True,False
S015,001,True,True,True,False
S017,001,True,True,True,False
S018,001,True,True,True,False
S019,001,True,True,True,False
S021,001,True,True,True,False
S022,001,True,True,True,False
S025,001,True,True,True,False
S029,001,True,True,True,False
S031,001,True,True,True,False
S032,001,True,True,True,False
S033,001,True,True,True,False
S034,001,True,True,True,False
S035,001,True,True,True,False
S037,001,True,True,True,False
S038,001,True,True,True,False
S039,001,True,True,True,False
S040,001,True,True,True,False
S041,001,True,True,True,False
S042,001,True,True,True,False
S043,001,True,True,True,False
S044,001,True,True,True,False
S045,001,True,True,True,False
S046,001,True,True,True,False
S049,001,True,True,True,False
S055,001,True,True,True,False
S056,001,True,True,True,False
S057,001,True,True,True,False
S059,001,True,True,True,False
S061,001,True,True,True,False
S062,001,True,True,True,False
S063,001,True,True,True,False
S064,001,True,True,True,False
S066,001,True,True,True,False
S070,001,True,True,True,False
S073,001,True,True,True,False
S077,001,True,True,True,False
S078,001,True,True,True,False
S079,001,True,True,True,False
S080,001,True,True,True,False
S084,001,True,True,True,False
S087,001,True,True,True,False
S092,001,True,True,True,False
S093,001,True,True,True,False
S094,001,True,True,True,False
S095,001,True,True,True,False
S096,001,True,True,True,False
S098,001,True,True,True,False
S100,001,True,True,True,False
S105,001,True,True,True,False
S106,001,True,True,True,False
S108,001,True,True,True,False
S110,001,True,True,True,False
S112,001,True,True,True,False
S113,001,True,True,True,False
S114,001,True,True,True,False
S119,001,True,True,True,False
S124,001,True,True,True,False
S126,001,True,True,True,False
S127,001,True,True,True,False
S128,001,True,True,True,False
S133,001,True,True,True,False
S134,001,True,True,True,False
S137,001,True,True,True,False
S139,001,True,True,True,False
S140,001,True,True,True,False
S141,001,True,True,True,False
S142,001,True,True,True,False
S143,001,True,True,True,False
S144,001,True,True,True,False
S145,001,True,True,True,False
S146,001,True,True,True,False
S148,001,True,True,True,False
S149,001,True,True,True,False
S150,001,True,True,True,False
S151,001,True,True,True,False
S153,001,True,True,True,False
S155,001,True,True,True,False
