sub,ses,RUN,anat,dwi,func
SN01,001,True,True,True,False
SN02b,001,True,True,True,False
SN03,001,True,True,True,False
SN04,001,True,True,True,False
SN06,001,True,True,True,False
SN08,001,True,True,True,False
SN09,001,True,True,True,False
SN13,001,True,True,True,False
SN16,001,True,True,True,False
SN17,001,True,True,True,False
SN21,001,True,True,True,False
SN22,001,True,True,True,False
SN23,001,True,True,True,False
SN25,001,True,True,True,False
