Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate,L_VOF,R_VOF,L_Arcuate_Posterior,R_Arcuate_Posterior,L_posteriorArcuate_vot,R_posteriorArcuate_vot
914,926,604,566,172,179,404,231,46,673,18,17,996,1172,6533,6106,649,715,1122,773,5286,5984,826,1269,575,1667
890,916,620,556,168,164,418,246,45,675,18,17,1016,1172,6534,5990,649,718,1104,743,5306,5964,831,1275,569,1650
883,913,629,562,170,167,413,241,45,668,18,17,979,1180,6449,5939,641,715,1084,734,5337,5975,827,1277,569,1656
871,912,641,578,166,169,421,250,46,670,18,16,972,1163,6458,5871,632,731,1092,735,5305,5991,833,1281,558,1673
859,898,667,599,165,176,412,260,46,664,18,17,990,1172,6422,5830,638,723,1061,712,5285,6031,846,1274,573,1686
868,891,684,608,171,165,416,255,47,684,18,17,998,1175,6405,5817,627,702,1034,750,5235,6042,866,1302,566,1671
849,900,665,613,171,168,416,249,46,661,18,17,982,1153,6402,5793,629,729,1036,735,5253,6037,855,1333,569,1682
836,889,684,619,175,166,427,265,47,679,18,16,971,1164,6397,5753,630,719,1028,738,5299,6011,866,1325,571,1691
818,875,702,612,177,164,420,272,48,684,18,17,950,1164,6393,5699,630,718,1018,716,5293,6020,873,1342,566,1692
800,859,700,629,172,168,428,270,47,678,18,17,965,1140,6435,5752,628,744,1012,711,5324,6031,893,1396,568,1716
794,863,709,633,168,171,423,273,45,687,18,17,949,1143,6432,5751,634,754,1011,732,5271,6026,909,1374,572,1707
790,870,711,624,180,169,418,263,46,687,18,17,961,1158,6451,5796,633,748,975,733,5331,6032,919,1397,585,1708
794,842,746,628,174,174,422,269,48,710,18,16,937,1152,6463,5803,631,754,982,739,5352,6044,925,1405,580,1724
793,833,745,640,178,168,431,268,45,702,18,17,935,1147,6520,5847,631,749,965,718,5333,6056,953,1440,587,1719
778,841,754,649,168,170,436,265,48,746,18,17,935,1159,6547,5884,634,749,949,729,5313,6068,949,1461,580,1718
796,839,767,662,174,171,444,274,48,731,18,17,943,1160,6620,5947,649,745,944,715,5312,6104,985,1432,564,1727
794,829,768,674,167,181,440,269,45,746,18,17,934,1174,6657,6055,644,771,933,718,5327,6061,988,1492,569,1740
796,828,775,692,164,177,433,258,44,751,18,16,938,1165,6759,6193,668,770,938,726,5303,6080,995,1466,577,1742
803,835,786,690,164,177,440,283,43,769,18,17,933,1168,6830,6267,658,785,930,738,5359,6110,1017,1499,584,1757
797,813,795,700,171,183,431,284,46,772,17,17,936,1177,6915,6421,673,780,930,736,5366,6120,1038,1484,586,1730
800,826,799,697,179,180,426,282,45,800,18,17,919,1190,6979,6551,704,807,932,726,5338,6078,1075,1531,580,1743
795,831,799,708,172,183,430,266,47,835,18,17,909,1194,7176,6722,684,820,953,725,5325,6089,1073,1535,580,1759
810,850,795,697,181,186,430,280,45,828,18,17,914,1179,7291,6910,704,820,947,739,5388,6093,1082,1534,575,1769
817,836,817,722,176,184,438,279,44,871,18,17,914,1188,7424,7024,693,833,942,744,5385,6062,1104,1553,578,1756
832,836,822,707,175,184,445,285,45,876,18,17,914,1187,7525,7255,705,837,943,720,5350,6085,1114,1589,580,1766
809,865,819,714,179,190,449,280,45,904,18,17,905,1185,7668,7393,729,859,934,747,5371,6121,1134,1602,589,1773
835,877,835,727,179,191,452,284,44,923,18,17,891,1201,7789,7628,729,880,953,740,5392,6127,1137,1617,597,1768
853,863,834,724,186,193,454,294,45,943,17,17,888,1197,8038,7778,753,894,965,747,5393,6121,1165,1598,602,1783
852,860,850,729,177,195,457,292,45,967,18,17,910,1212,8196,7963,742,919,978,749,5370,6121,1173,1603,595,1779
871,876,847,738,174,196,479,292,42,981,18,17,888,1198,8376,8232,746,914,978,760,5346,6097,1165,1617,597,1768
890,894,846,731,182,193,468,295,45,1011,18,17,919,1189,8597,8383,758,942,1002,765,5375,6103,1183,1647,588,1769
892,903,860,748,180,192,487,289,46,1011,18,17,900,1214,8796,8626,764,953,1028,776,5376,6086,1198,1653,575,1792
908,911,841,752,191,202,479,298,46,1015,18,17,907,1186,8970,8789,766,959,1051,765,5369,6104,1241,1631,575,1787
914,930,861,765,176,200,472,290,46,1058,18,17,898,1193,9099,9000,762,980,1083,775,5363,6115,1229,1655,594,1794
951,920,860,759,183,194,490,308,45,1051,18,17,930,1192,9294,9238,760,1000,1120,787,5345,6056,1240,1673,589,1813
950,950,866,772,187,191,490,306,45,1101,18,17,907,1192,9459,9300,772,1001,1135,819,5353,6069,1248,1667,593,1815
953,920,869,769,185,205,487,307,45,1111,18,17,901,1241,9672,9466,775,1021,1172,821,5346,6097,1281,1674,584,1788
935,926,862,770,193,206,506,317,44,1098,18,17,908,1234,9747,9580,783,1041,1199,834,5321,6025,1276,1686,585,1803
942,946,870,776,193,200,510,319,43,1121,18,17,916,1204,9945,9769,796,1043,1237,863,5339,6091,1269,1681,582,1799
946,946,868,771,197,197,509,320,47,1153,18,17,899,1220,10017,9867,792,1052,1257,849,5294,6076,1276,1711,583,1786
963,939,876,774,199,204,502,319,48,1150,18,17,910,1209,10178,9936,789,1068,1288,860,5294,5976,1294,1717,576,1789
952,942,863,769,205,203,512,321,45,1148,18,17,897,1189,10251,10007,795,1083,1279,861,5262,5968,1274,1711,584,1788
952,940,863,768,200,201,510,323,47,1160,18,17,899,1225,10324,10031,778,1091,1295,876,5234,5982,1279,1694,580,1782
965,918,874,779,201,200,516,317,44,1170,18,16,890,1216,10409,10095,790,1100,1288,867,5224,6004,1267,1704,581,1793
973,931,884,783,194,199,523,340,48,1157,18,17,864,1206,10402,10099,788,1116,1307,883,5155,5966,1281,1678,590,1777
955,923,875,784,199,211,505,326,47,1163,18,17,841,1212,10404,10117,794,1128,1337,874,5172,5950,1291,1694,583,1765
971,914,884,780,198,205,531,322,48,1165,18,17,872,1184,10420,10032,803,1140,1354,894,5125,5901,1271,1673,574,1749
976,913,880,772,196,205,524,331,47,1178,18,17,858,1182,10418,9983,817,1146,1357,883,5091,5911,1274,1679,576,1765
947,899,876,788,201,210,521,344,47,1185,18,17,855,1184,10358,9961,820,1161,1325,896,5055,5860,1272,1663,570,1751
959,879,881,770,204,209,508,338,47,1179,18,17,831,1177,10298,9874,805,1165,1331,913,4996,5821,1264,1689,568,1748
913,846,866,779,199,207,527,327,46,1172,18,17,850,1152,10180,9767,815,1171,1326,898,4943,5779,1249,1659,563,1754
895,868,855,757,196,208,513,339,47,1154,18,17,833,1155,10038,9702,812,1146,1325,922,4937,5757,1277,1642,559,1737
870,852,865,756,195,211,513,337,47,1177,18,17,826,1143,9936,9642,811,1179,1308,920,4881,5749,1228,1644,556,1741
859,841,848,756,195,204,534,339,48,1186,18,17,809,1147,9924,9579,802,1162,1346,920,4898,5703,1284,1656,559,1748
834,833,865,763,198,207,528,348,48,1191,18,17,822,1151,10113,9895,794,1170,1344,942,4898,5868,1285,1670,565,1741
