sub,ses,RUN,anat,dwi,func
SM001,001,True,True,True,False
SM002,001,True,True,True,False
SM003,001,True,True,True,False
SM004,001,True,True,True,False
SM005,001,True,True,True,False
SM006,001,True,True,True,False
SM007,001,True,True,True,False
SM008,001,True,True,True,False
SM009,001,True,True,True,False
SM010,001,True,True,True,False
SM011,001,True,True,True,False
SM012,001,True,True,True,False
SM013,001,True,True,True,False
SM014,001,True,True,True,False
SM015,001,True,True,True,False
SM016,001,True,True,True,False
SM017,001,True,True,True,False
SM018,001,True,True,True,False
SM019,001,True,True,True,False
SM021,001,True,True,True,False
SM023,001,True,True,True,False
SM024,001,True,True,True,False
SM025,001,True,True,True,False
SM026,001,True,True,True,False
SM027,001,True,True,True,False
SM028,001,True,True,True,False
SM029,001,True,True,True,False
SM030,001,True,True,True,False
SM031,001,True,True,True,False
SM033,001,True,True,True,False
SM034,001,True,True,True,False
SM041,001,True,True,True,False
SM042,001,True,True,True,False
SM043,001,True,True,True,False
SM044,001,True,True,True,False
SM045,001,True,True,True,False
SM046,001,True,True,True,False
SM047,001,True,True,True,False
SM048,001,True,True,True,False
SM049,001,True,True,True,False
SM050,001,True,True,True,False
SM051,001,True,True,True,False
SM052,001,True,True,True,False
SM053,001,True,True,True,False
SM054,001,True,True,True,False
SM055,001,True,True,True,False
SM056,001,True,True,True,False
SM057,001,True,True,True,False
SM058,001,True,True,True,False
SM059,001,True,True,True,False
SM060,001,True,True,True,False
SM061,001,True,True,True,False
SM062,001,True,True,True,False
SM063,001,True,True,True,False
SM064,001,True,True,True,False
SM065,001,True,True,True,False
SM066,001,True,True,True,False
SM067,001,True,True,True,False
SM068,001,True,True,True,False
SM069,001,True,True,True,False
