Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate
350,328,264,283,180,92,231,180,45,677,17,17,634,683,1738,2229,299,540,472,259
364,333,285,282,181,90,227,183,47,691,17,17,652,696,1726,2190,300,538,460,250
350,332,280,280,183,88,232,191,44,677,16,17,648,696,1709,2138,296,514,468,251
352,344,281,294,183,86,229,199,45,692,16,17,640,690,1682,2130,293,508,463,249
359,333,288,286,181,84,236,195,45,682,16,17,656,694,1650,2118,285,522,456,259
350,337,290,293,181,90,234,202,45,695,17,17,637,695,1627,2104,289,519,460,261
344,334,290,294,182,90,229,189,44,691,17,16,644,693,1617,2026,286,503,455,257
348,346,291,308,183,89,228,193,47,708,16,17,634,697,1608,1995,279,497,442,257
354,348,282,301,175,91,229,193,42,698,16,17,651,689,1583,1969,274,490,445,260
343,351,293,301,181,87,229,188,47,694,17,16,645,679,1550,1976,275,479,458,264
340,339,291,305,191,95,233,195,43,694,16,17,643,685,1497,1928,259,465,430,266
349,345,285,302,186,90,227,200,43,703,17,17,638,666,1485,1867,263,467,454,260
339,340,282,303,179,89,214,194,44,706,17,16,638,656,1482,1841,253,464,429,262
333,342,283,299,188,91,214,193,45,701,17,17,644,660,1453,1796,245,461,435,261
348,343,286,307,189,100,213,194,41,697,17,16,610,656,1413,1763,238,441,417,252
341,343,286,311,179,92,219,200,41,694,17,17,615,647,1367,1712,228,440,437,250
342,346,293,317,185,98,208,196,35,688,17,17,606,653,1343,1671,231,425,423,241
336,341,290,309,188,98,209,194,44,696,17,17,611,636,1307,1601,212,410,427,252
337,325,289,307,187,87,209,181,43,690,17,17,598,638,1264,1540,218,393,418,244
325,326,291,297,186,98,198,183,43,684,16,17,591,624,1229,1509,203,379,410,239
330,313,282,302,182,99,192,169,46,683,15,16,586,624,1207,1473,193,364,403,240
302,310,285,291,183,93,192,170,45,682,16,17,562,610,1164,1417,191,357,388,227
316,297,270,288,183,101,186,167,43,662,17,17,548,585,1094,1332,185,338,387,220
299,295,265,277,185,82,164,145,42,640,17,17,525,571,995,1218,180,320,366,211
285,285,289,289,178,89,184,158,47,634,17,16,533,559,987,1123,168,297,342,184
285,274,224,244,182,102,193,173,49,630,17,17,469,492,1056,1232,162,288,344,202
227,221,292,314,178,87,162,154,46,592,16,17,510,552,1052,1249,143,258,272,158
303,275,193,216,176,92,157,140,41,564,17,17,409,434,1013,1218,153,265,334,180
247,237,300,313,193,88,207,180,44,625,17,16,518,573,982,1173,181,298,340,196
